FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-04,99.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-05,100,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-06,100.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-07,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-08,100.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-09,100.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-10,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-11,100.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2025-12,100.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2026-01,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2026-02,100,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0111,Cereali e prodotti a base di cereali,2026-03,100.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-04,98.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-05,99.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-06,99.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-07,100.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-08,100.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-09,101.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-10,101.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-11,102.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2025-12,102.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2026-01,103,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2026-02,103.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0112,Animali vivi e carni e altre parti di animali terrestri macellati,2026-03,103.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-04,99.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-05,100.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-06,100.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-07,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-08,100.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-09,101,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-10,100.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-11,99.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2025-12,99.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2026-01,101.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2026-02,101.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0113,Pesci e altri prodotti ittici,2026-03,102,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-04,99.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-05,99.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-06,100.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-07,100.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-08,101.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-09,101,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-10,101,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-11,101.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2025-12,101.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2026-01,101.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2026-02,100.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0114,'Latte, altri prodotti lattiero-caseari e uova',2026-03,101.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-04,101.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-05,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-06,99.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-07,99.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-08,98.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-09,97.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-10,97.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-11,97,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2025-12,95.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2026-01,96.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2026-02,95.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0115,Oli e grassi,2026-03,93.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-04,100.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-05,105.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-06,105,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-07,102,,
