FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2014,987,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2015,586,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2016,570,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2017,599,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2018,499,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2019,534,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2020,548,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2021,311,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2022,360,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2023,265,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0963,Servizi fotografici,2024,326,,
