FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2013,7007,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2014,6245,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2015,5339,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2016,4949,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2017,4730,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2018,4565,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2019,4081,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2020,3676,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2021,3082,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2022,3014,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2023,3270,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2024,3060,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2025,2510,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0972,Giornali e periodici,2026,2891,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2010,2431,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2011,2446,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2012,3718,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2013,3789,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2014,3444,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2015,3097,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2016,3099,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2017,3074,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2018,2898,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2019,2648,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2020,2354,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2021,1942,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2022,1889,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2023,1934,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2024,1772,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2025,1457,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09721,Giornali,2026,1597,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2016,3099,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2017,3074,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2018,2898,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2019,2648,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2020,2354,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2021,1942,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2022,1889,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2023,1934,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2024,1772,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2025,1457,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097211,Giornali,2026,1597,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2010,7028,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2011,5527,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2012,3246,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2013,3218,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2014,2801,,
